index,value,name,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,type,rank,so2,date
197,64,南京,0.974,130,35,33,112,39,17,良,130.6774,12,2017/8/1
249,43,南宁,0.974,84,25,28,74,37,19,优,128.3871,8,2017/8/1
321,45,厦门,0.465,69,26,24,86,34,20,优,70.8387,9,2017/8/1
375,63,合肥,0.787,96,33,33,109,48,27,良,180.129,9,2017/8/1
494,79,呼和浩特,0.884,124,38,34,133,63,25,良,242.6129,12,2017/8/1
544,90,天津,1.139,155,38,31,144,55,37,良,218.4194,8,2017/8/1
608,73,广州,0.803,152,28,39,114,39,23,良,147.9032,11,2017/8/1
652,81,成都,0.816,142,28,34,133,37,20,良,123.1613,8,2017/8/1
693,77,杭州,0.745,132,33,28,129,38,23,良,125.129,7,2017/8/1
758,65,武汉,0.948,100,30,32,113,51,24,良,177.2903,6,2017/8/1
810,31,海口,0.635,65,18,12,61,25,11,优,45.4516,6,2017/8/1
879,49,深圳,0.713,168,23,28,81,30,18,优,71.6774,8,2017/8/1
943,99,西安,1.161,202,35,41,148,70,35,良,228.6129,9,2017/8/1
49,74,上海,0.77,168,44,36,118,42,26,良,125.4667,9,2017/9/1
65,67,乌鲁木齐,0.857,101,38,42,98,81,23,良,234.6,9,2017/9/1
124,98,北京,0.913,189,36,49,123,100,58,良,264.1667,4,2017/9/1
198,72,南京,0.95,146,36,40,112,49,26,良,144.4,10,2017/9/1
260,50,南宁,1.017,81,30,30,92,44,24,优,128.1,9,2017/9/1
310,54,厦门,0.59,90,29,23,100,40,24,良,76.8,10,2017/9/1
374,67,合肥,1.007,123,34,44,99,57,36,良,185.4333,10,2017/9/1
481,77,呼和浩特,0.92,140,48,45,123,80,28,良,222.3333,16,2017/9/1
557,102,天津,1.22,158,41,39,154,90,54,轻度污染,260.8,13,2017/9/1
607,97,广州,0.97,204,36,51,141,55,34,良,162.6667,12,2017/9/1
634,67,成都,0.84,138,40,42,96,52,30,良,128.2333,10,2017/9/1
695,82,杭州,0.957,177,33,38,118,51,32,良,125.9667,9,2017/9/1
746,74,武汉,1.103,130,34,45,101,61,30,良,159.1333,8,2017/9/1
808,30,海口,0.61,44,18,11,59,26,13,优,33.4,5,2017/9/1
881,64,深圳,0.76,187,23,29,104,39,25,良,88.5667,7,2017/9/1
944,77,西安,1.31,123,40,53,95,90,44,良,240.0667,12,2017/9/1
60,58,上海,0.732,88,36,34,101,42,24,良,110.9677,9,2017/10/1
72,78,乌鲁木齐,1.261,124,36,54,64,97,45,良,223.3226,14,2017/10/1
135,84,北京,0.923,221,25,46,47,63,57,良,216.4839,3,2017/10/1
199,63,南京,0.781,128,30,43,97,56,31,良,138.0323,10,2017/10/1
275,59,南宁,1.058,118,28,34,99,57,36,良,143.871,11,2017/10/1
322,51,厦门,0.545,85,30,23,96,46,23,良,89.129,9,2017/10/1
373,70,合肥,0.932,154,29,51,90,65,41,良,158.8065,12,2017/10/1
482,84,呼和浩特,1.19,154,29,49,77,102,57,良,232.2581,20,2017/10/1
543,90,天津,1.355,247,33,54,66,74,62,良,225.9355,12,2017/10/1
606,66,广州,0.91,122,29,42,113,49,32,良,136.8387,11,2017/10/1
636,63,成都,0.823,108,28,46,54,60,37,良,150.2581,9,2017/10/1
710,62,杭州,0.881,140,33,42,91,58,32,良,154.7742,11,2017/10/1
759,62,武汉,1.032,133,23,46,75,64,34,良,133.5806,9,2017/10/1
817,57,海口,0.774,150,16,10,98,41,24,良,85.7419,7,2017/10/1
